poblacion;provincia
La Zubia                                 ;Granada               
La Zubia / Granada                       ;Granada               
Loja                                     ;Granada               
Maracena                                 ;Granada               
Monachil                                 ;Granada               
Motril                                   ;Granada               
Pulianas                                 ;Granada               
Sierra Nevada                            ;Granada               
Vegas Del Genil                          ;Granada               
Ventas De Zafarraya                      ;Granada               
Azuqueca                                 ;Guadalajara           
Azuqueca De Henares                      ;Guadalajara           
Guadalajara                              ;Guadalajara           
Siguenza                                 ;Guadalajara           
Anoeta                                   ;Guipuzcoa             
Arrasate                                 ;Guipuzcoa             
Arrasate-Mondragon                       ;Guipuzcoa             
Arrasate/Mondragon                       ;Guipuzcoa             
Azkoitia                                 ;Guipuzcoa             
Azpeitia                                 ;Guipuzcoa             
Beasain                                  ;Guipuzcoa             
Bergara                                  ;Guipuzcoa             
Donosti                                  ;Guipuzcoa             
Donostia                                 ;Guipuzcoa             
Donostia-San Sebastian                   ;Guipuzcoa             
Eibar                                    ;Guipuzcoa             
Elgoibar                                 ;Guipuzcoa             
Guipuzcoa                                ;Guipuzcoa             
Hernani                                  ;Guipuzcoa             
Hondarribia                              ;Guipuzcoa             
Irún                                     ;Guipuzcoa             
Lasarte                                  ;Guipuzcoa             
Mondragon                                ;Guipuzcoa             
Oiartzun                                 ;Guipuzcoa             
Olaberria                                ;Guipuzcoa             
Oyarzun                                  ;Guipuzcoa             
Rentería                                 ;Guipuzcoa             
San Sebastian                            ;Guipuzcoa             
Tolosa                                   ;Guipuzcoa             
Usurbil                                  ;Guipuzcoa             
Zarautz                                  ;Guipuzcoa             
Zarauz                                   ;Guipuzcoa             
Zumarraga                                ;Guipuzcoa             
Almonte                                  ;Huelva                
Aracena                                  ;Huelva                
Bollullos Del Condado                    ;Huelva                
Bollullos Par Del Condado                ;Huelva                
Cartaya                                  ;Huelva                
Corrales-Aljaraque                       ;Huelva                
Hinojos                                  ;Huelva                
Huelva                                   ;Huelva                
Isla Cristina                            ;Huelva                
La Palma Del Condado                     ;Huelva                
Lepe                                     ;Huelva                
Moguer                                   ;Huelva                
Niebla                                   ;Huelva                
Punta Umbría                             ;Huelva                
Valverde Del Camino                      ;Huelva                
Barbastro                                ;Huesca                
Binefar                                  ;Huesca                
Ertyuiop                                 ;Huesca                
Fraga                                    ;Huesca                
Huesca                                   ;Huesca                
Jaca                                     ;Huesca                
Monzón                                   ;Huesca                
Sabiñanigo                               ;Huesca                
Alcalá La Real                           ;Jaen                  
Andujar                                  ;Jaen                  
Baeza                                    ;Jaen                  
Bailen                                   ;Jaen                  
Jaen                                     ;Jaen                  
Jodar                                    ;Jaen                  
La Carolina                              ;Jaen                  
Linares                                  ;Jaen                  
Mancha Real                              ;Jaen                  
Martos                                   ;Jaen                  
Torre Don Jimeno                         ;Jaen                  
Úbeda                                    ;Jaen                  
Astorga                                  ;Leon                  
Bañeza, La                               ;Leon                  
Bembibre                                 ;Leon                  
Camponaraya-Ponferrad                    ;Leon                  
Fuentes Nuevas                           ;Leon                  
La Bañeza                                ;Leon                  
La Ba¥Eza                                ;Leon                  
León                                     ;Leon                  
Ponferrada                               ;Leon                  
S.And.Rabanedo                           ;Leon                  
Trobajo Del Cami                         ;Leon                  
Trobajo Del Camino                       ;Leon                  
Trobajo Del Campo                        ;Leon                  
Val.Don Juan                             ;Leon                  
Villablino                               ;Leon                  
Virgen Camino                            ;Leon                  
Alcarràs                                 ;Lleida                
Alcoletge                                ;Lleida                
Alfes                                    ;Lleida                
Almacelles                               ;Lleida                
Almenar                                  ;Lleida                
Alpicat                                  ;Lleida                
Balaguer                                 ;Lleida                
Bassella                                 ;Lleida                
Cervera                                  ;Lleida                
El Pont De Suert                         ;Lleida                
Golmés                                   ;Lleida                
Guissona                                 ;Lleida                
La Seu D'Urgell                          ;Lleida                
La Seu De Urgell                         ;Lleida                
Lérida                                   ;Lleida                
Lleida                                   ;Lleida                
Mollerusa                                ;Lleida                
Mollerussa                               ;Lleida                
Ponts                                    ;Lleida                
Seu D'Urgell (La)                        ;Lleida                
Solsona                                  ;Lleida                
Sort                                     ;Lleida                
Tárrega                                  ;Lleida                
Torreferrera                             ;Lleida                
Tremp                                    ;Lleida                
Vielha                                   ;Lleida                
Abadin                                   ;Lugo                  
Barreiros                                ;Lugo                  
Becerrea                                 ;Lugo                  
Burela                                   ;Lugo                  
Chantada                                 ;Lugo                  
Foz                                      ;Lugo                  
Guitiriz                                 ;Lugo                  
Lorenzana                                ;Lugo                  
Lugo                                     ;Lugo                  
Mondoñedo (Casco Urbano)                 ;Lugo                  
Monforte                                 ;Lugo                  
Monforte De Lemos                        ;Lugo                  
Puentenuevo                              ;Lugo                  
Ribadeo                                  ;Lugo                  
Ribadeo (Casco Urbano)                   ;Lugo                  
Sarria                                   ;Lugo                  
Vilalba                                  ;Lugo                  
Villalba                                 ;Lugo                  
Viveiro                                  ;Lugo                  
Vivero                                   ;Lugo                  
Vivero (Lu                               ;Lugo                  
Alcala De Henares                        ;Madrid                
Alcobendas                               ;Madrid                
Alcobendas Y La Moraleja                 ;Madrid                
Alcorcón                                 ;Madrid                
Aranjuez                                 ;Madrid                
Aranjuez (Madrid)                        ;Madrid                
Aravaca                                  ;Madrid                
Aravaca-Madrid                           ;Madrid                
Arganda Del Rey                          ;Madrid                
Arroyo De La Encomienda                  ;Madrid                
Arroyo De La Vega                        ;Madrid                
Arroyomolinos                            ;Madrid                
Aventel                                  ;Madrid                
Barajas                                  ;Madrid                
Barjas                                   ;Madrid                
Boadilla Del Monte                       ;Madrid                
Carabanchel                              ;Madrid                
Ciempozuelos                             ;Madrid                
Cititeam                                 ;Madrid                
Ciudad Loranca - (Fuenlabrada) Madrid    ;Madrid                
Collado Villalba                         ;Madrid                
Colmenar Viejo                           ;Madrid                
Colmenar Viejo Madrid                    ;Madrid                
Colonia De Las Mercedes                  ;Madrid                
Contesta                                 ;Madrid                
Coslada                                  ;Madrid                
Coslada- Madrid                          ;Madrid                
El Nogal, Algete                         ;Madrid                
El Pinar De Las Rozas                    ;Madrid                
El Plantio                               ;Madrid                
Ensanche De Vallecas                     ;Madrid                
Fuenlabrada                              ;Madrid                
Fuente El Saz Del Jarama                 ;Madrid                
Fuentidueña Del Tajo                     ;Madrid                
Galapagar                                ;Madrid                
Getafe                                   ;Madrid                
Getafe -Madrid                           ;Madrid                
Guadarrama                               ;Madrid                
Humanes                                  ;Madrid                
Humanes De Madrid                        ;Madrid                
La Cabrera                               ;Madrid                
La Moraleja                              ;Madrid                
Las Rozas                                ;Madrid                
Las Rozas - Madrid                       ;Madrid                
Las Rozas De Madrid                      ;Madrid                
Leganés                                  ;Madrid                
Leganés-Madrid                           ;Madrid                
Madrid                                   ;Madrid                
Madrid - Carrada Abril 2013              ;Madrid                
Madrid_orense                            ;Madrid                
Majadahonda                              ;Madrid                
Majadahonda - Madrid                     ;Madrid                
Mejorada Del Campo                       ;Madrid                
Móstoles                                 ;Madrid                
Móstoles - El Soto                       ;Madrid                
Paracuellos De Jarama                    ;Madrid                
Parla                                    ;Madrid                
Parque Sur                               ;Madrid                
Pinto                                    ;Madrid                
Pozuelo                                  ;Madrid                
Pozuelo De Alarcón                       ;Madrid                
Puente Vallecas                          ;Madrid                
Rivas Futura                             ;Madrid                
Rivas Vaciamadrid                        ;Madrid                
Rivas-Vaciamadrid                        ;Madrid                
Rivas-Vaciamadrid Arganda                ;Madrid                
Rozas De Madrid (Las)                    ;Madrid                
S.S. De Los Reyes                        ;Madrid                
S.S. Reyes - Madrid                      ;Madrid                
S.Sebastian De Los Reyes                 ;Madrid                
Salesland                                ;Madrid                
San Blas (Madrid)                        ;Madrid                
San Fernando De Henares                  ;Madrid                
San Lorenzo De El Escorial               ;Madrid                
San Lorenzo Del Escorial                 ;Madrid                
San Sebastián De Los                     ;Madrid                
San Sebastián De Los Reyes               ;Madrid                
San Sebastian De Los Reyes, Industrial De;Madrid                
Segovia                                  ;Madrid                
Ss De Los Reyes                          ;Madrid                
Te Sin Fee                               ;Madrid                
Test                                     ;Madrid                
Torrejón De Ardoz                        ;Madrid                
Torrelodones                             ;Madrid                
Tres Cantos                              ;Madrid                
Valdemoro                                ;Madrid                
Valderas                                 ;Madrid                
Vallecas                                 ;Madrid                
Vallecas   Madrid                        ;Madrid                
Vicalvaro                                ;Madrid                
Villalba                                 ;Madrid                
Villanueva De La Cañada                  ;Madrid                
Villaverde                               ;Madrid                
Villaviciosa De Odón                     ;Madrid                
Algeciras                                ;Malaga                
Alhaurín De La Torre                     ;Malaga                
Alhaurín El Grande                       ;Malaga                
Antequera                                ;Malaga                
Benalmadena                              ;Malaga                
Benalmádena (Arroyo De La Miel)          ;Malaga                
Campanillas                              ;Malaga                
Cartama                                  ;Malaga                
Cartama Estación                         ;Malaga                
Casarabonela                             ;Malaga                
Churriana                                ;Malaga                
Coin                                     ;Malaga                
Estepona                                 ;Malaga                
Fuengirola                               ;Malaga                
La Cala                                  ;Malaga                
La Cala Del Moral                        ;Malaga                
Málaga                                   ;Malaga                
Malaga - Fuengirola                      ;Malaga                
Marbella                                 ;Malaga                
Mijas                                    ;Malaga                
Mijas Costa                              ;Malaga                
Mijas Pueblo                             ;Malaga                
Nerja                                    ;Malaga                
Nueva Andalucía                          ;Malaga                
Pizarra                                  ;Malaga                
Puerto Banus                             ;Malaga                
Rincon De La Victoria                    ;Malaga                
Ronda                                    ;Malaga                
S. Pedro De Alcantara                    ;Malaga                
San Pedro De Alcantara                   ;Malaga                
Torre Del Mar                            ;Malaga                
Torremolinos                             ;Malaga                
Vélez                                    ;Malaga                
Velez Malaga                             ;Malaga                
Velez-Malaga                             ;Malaga                
Melilla                                  ;Melilla               
Aguilas                                  ;Murcia                
Alcantarilla                             ;Murcia                
Alhama De Murcia                         ;Murcia                
Archena                                  ;Murcia                
Bullas                                   ;Murcia                
Campillo (Lorca)                         ;Murcia                
Caravaca                                 ;Murcia                
Caravaca De La Cruz                      ;Murcia                
Cartagena                                ;Murcia                
Cehegin                                  ;Murcia                
Churra                                   ;Murcia                
Churra - Murcia                          ;Murcia                
Churra Cabezo De Torres                  ;Murcia                
Cieza                                    ;Murcia                
El Algar                                 ;Murcia                
El Palmar                                ;Murcia                
Espinardo                                ;Murcia                
Espinardo-Murcia                         ;Murcia                
Fuente Alamo                             ;Murcia                
Fuente Alamo De Murcia                   ;Murcia                
Jumilla                                  ;Murcia                
La Manga Del Mar Menor                   ;Murcia                
La Ñora                                  ;Murcia                
La Unión                                 ;Murcia                
Las Torres De Cotillas                   ;Murcia                
Lorca                                    ;Murcia                
Mazarrón                                 ;Murcia                
Media Sala (Cartagena)                   ;Murcia                
Medina Sala (Cartagena)                  ;Murcia                
Molina De Segura                         ;Murcia                
Mula                                     ;Murcia                
Murcia                                   ;Murcia                
Palma, La                                ;Murcia                
Patiño (Murcia)                          ;Murcia                
Pto Lumbreras                            ;Murcia                
Pto Mazarrón                             ;Murcia                
Roldan                                   ;Murcia                
San Javier                               ;Murcia                
San Pedro Del Pinatar                    ;Murcia                
Torre Pacheco                            ;Murcia                
Totana                                   ;Murcia                
Yecla                                    ;Murcia                
Zeneta                                   ;Murcia                
Alsasua                                  ;Navarra               
Ansoain                                  ;Navarra               
Azagra                                   ;Navarra               
Baranain                                 ;Navarra               
Bera                                     ;Navarra               
Bera  Vera De Bidasoa                    ;Navarra               
Burlada                                  ;Navarra               
Cintruenigo                              ;Navarra               
Cordovilla                               ;Navarra               
Cordovilla (Pamplona)                    ;Navarra               
Cordovilla(Pamplona)                     ;Navarra               
Cordovilla-Pamplona                      ;Navarra               
Estella                                  ;Navarra               
Huarte                                   ;Navarra               
Mendavia                                 ;Navarra               
Murchante                                ;Navarra               
Navarra                                  ;Navarra               
Pamplona                                 ;Navarra               
Pamplona (Iruña)                         ;Navarra               
Pamplona / Burlada                       ;Navarra               
Pamplona O Iruña                         ;Navarra               
Ribaforada                               ;Navarra               
Salinas                                  ;Navarra               
Tafalla                                  ;Navarra               
Tudela                                   ;Navarra               
Viana                                    ;Navarra               
Villafranca De Navarra                   ;Navarra               
Allariz                                  ;Orense                
Barbadas                                 ;Orense                
Barco De Valdeorras                      ;Orense                
Barco Valdeorras                         ;Orense                
Barco Valdeorras Orense                  ;Orense                
Carballiño                               ;Orense                
Celanova                                 ;Orense                
El Barco De Valdeorras                   ;Orense                
Maside                                   ;Orense                
O Barco                                  ;Orense                
Orense                                   ;Orense                
Ourense                                  ;Orense                
Pontevella                               ;Orense                
Verín                                    ;Orense                
Xinzo De Limia                           ;Orense                
Carrion De Los Condes                    ;Palencia              
Palencia                                 ;Palencia              
Aeropuerto Del Matorral                  ;Palmas, Las           
Agüimes                                  ;Palmas, Las           
Arrecife (Lanzarote)                     ;Palmas, Las           
Arrecife De Lanzarote                    ;Palmas, Las           
Arucas                                   ;Palmas, Las           
Caleta De Fuste (Fuerteventura)          ;Palmas, Las           
Corralejo                                ;Palmas, Las           
Corralejo (Fuerteventura)                ;Palmas, Las           
Costa Teguise                            ;Palmas, Las           
El Carrizal- Ingenio                     ;Palmas, Las           
El Tablero De Maspalomas                 ;Palmas, Las           
Galdar                                   ;Palmas, Las           
Gran Tarajal                             ;Palmas, Las           
Jandía (Fuerteventura)                   ;Palmas, Las           
Jinámar                                  ;Palmas, Las           
Junamar, Telde                           ;Palmas, Las           
Lanzarote                                ;Palmas, Las           
Las Palmas                               ;Palmas, Las           
Las Palmas De G.C.                       ;Palmas, Las           
Las Palmas De Gran C.                    ;Palmas, Las           
Las Palmas De Gran Canaria               ;Palmas, Las           
Las Palmas De Gran Canarias              ;Palmas, Las           
Maspalomas                               ;Palmas, Las           
Meloneras                                ;Palmas, Las           
Meloneras - Gran Canarias                ;Palmas, Las           
Mogán                                    ;Palmas, Las           
Pájara                                   ;Palmas, Las           
Palma Gran Canaria                       ;Palmas, Las           
Palmas De Gran Canaria (Las)             ;Palmas, Las           
Palmas De Gran Canaria,Las               ;Palmas, Las           
Playa Blanca (Yaiza)                     ;Palmas, Las           
Playa Del Inglés                         ;Palmas, Las           
Playa Honda-San Bartolome De Lanzarote   ;Palmas, Las           
Puerto Del Rosario                       ;Palmas, Las           
Puerto Del Rosario (Fuerteventura)       ;Palmas, Las           
Puerto Rico                              ;Palmas, Las           
San Bartolomé                            ;Palmas, Las           
San Bartolomé De Tirajana                ;Palmas, Las           
Santa Lucía De Tirajana (Vecindario)     ;Palmas, Las           
Taco-La Laguna.                          ;Palmas, Las           
Telde                                    ;Palmas, Las           
Telde (Gran Canaria)                     ;Palmas, Las           
Tías (Lanzarote)                         ;Palmas, Las           
Vecindario                               ;Palmas, Las           
Vecindario - Santa Lucía                 ;Palmas, Las           
A Estrada                                ;Pontevedra            
A Guarda                                 ;Pontevedra            
A Ramallosa                              ;Pontevedra            
Atios (Santa Eulalia)                    ;Pontevedra            
Bayona                                   ;Pontevedra            
Bueu                                     ;Pontevedra            
Caldas De Reyes                          ;Pontevedra            
Cambados                                 ;Pontevedra            
Cangas                                   ;Pontevedra            
Cangas De Morrazo                        ;Pontevedra            
Cobres                                   ;Pontevedra            
Estrada (A)                              ;Pontevedra            
Gondomar                                 ;Pontevedra            
Guarda, A                                ;Pontevedra            
La Estrada                               ;Pontevedra            
La Guardia                               ;Pontevedra            
Lalín                                    ;Pontevedra            
Marín                                    ;Pontevedra            
Moaña                                    ;Pontevedra            
Mos                                      ;Pontevedra            
Mos-Porriño                              ;Pontevedra            
Nigrán                                   ;Pontevedra            
O Grove                                  ;Pontevedra            
Poio                                     ;Pontevedra            
Ponteareas                               ;Pontevedra            
Ponteareas (San Miguel)                  ;Pontevedra            
Pontevedra                               ;Pontevedra            
Pontevedra / Salcedo                     ;Pontevedra            
Porriño                                  ;Pontevedra            
Portonovo                                ;Pontevedra            
Puenteareas                              ;Pontevedra            
Redondela                                ;Pontevedra            
Regueiro, O (Estrada, A)                 ;Pontevedra            
Rosal (O)                                ;Pontevedra            
Salcedo                                  ;Pontevedra            
Salvaterra De Miño                       ;Pontevedra            
San Xenxo                                ;Pontevedra            
Sanguiñeda                               ;Pontevedra            
Tomiño                                   ;Pontevedra            
Tuy                                      ;Pontevedra            
Vigo                                     ;Pontevedra            
Vigo - Pontevedra                        ;Pontevedra            
Vilagarcia De Arousa                     ;Pontevedra            
Villagarcia                              ;Pontevedra            
Villagarcía De Arosa                     ;Pontevedra            
Villagarcia De Arousa                    ;Pontevedra            
Arnedo                                   ;Rioja, La             
Calahorra                                ;Rioja, La             
Haro                                     ;Rioja, La             
La Rioja                                 ;Rioja, La             
Logroño                                  ;Rioja, La             
Aldehuela De La Boveda                   ;Salamanca             
Bejar                                    ;Salamanca             
Carbajosa De La Sagrada                  ;Salamanca             
Ciudad Rodrigo                           ;Salamanca             
Salamanca                                ;Salamanca             
Salamanca / Santa Marta De Tormes        ;Salamanca             
Santa Marta De Tormes                    ;Salamanca             
Villares De La Reina                     ;Salamanca             
Vitigudino                               ;Salamanca             
Acoran-Santa Cruz De Tenerife            ;Santa Cruz De Tenerife
Adeje                                    ;Santa Cruz De Tenerife
Adeje (Santa Cruz De Tenerife)           ;Santa Cruz De Tenerife
Adeje - Tenerife                         ;Santa Cruz De Tenerife
Arafo                                    ;Santa Cruz De Tenerife
Arona                                    ;Santa Cruz De Tenerife
Candelaria                               ;Santa Cruz De Tenerife
El Puerto De La Cruz                     ;Santa Cruz De Tenerife
Guía De Isora                            ;Santa Cruz De Tenerife
Guimar                                   ;Santa Cruz De Tenerife
Icod De Los Vinos                        ;Santa Cruz De Tenerife
La Laguna                                ;Santa Cruz De Tenerife
La Orotava                               ;Santa Cruz De Tenerife
Laguna (La)                              ;Santa Cruz De Tenerife
Laguna,La                                ;Santa Cruz De Tenerife
Las Americas Arona                       ;Santa Cruz De Tenerife
Las Caletillas                           ;Santa Cruz De Tenerife
Las Galletas Arona                       ;Santa Cruz De Tenerife
Los Cristianos                           ;Santa Cruz De Tenerife
Los Llanos De Ariadne                    ;Santa Cruz De Tenerife
Los Llanos De Aridane                    ;Santa Cruz De Tenerife
Los Realejos                             ;Santa Cruz De Tenerife
Orotava                                  ;Santa Cruz De Tenerife
Orotava, La                              ;Santa Cruz De Tenerife
Playa De Las Américas                    ;Santa Cruz De Tenerife
Playa De Las Americas - Tenerife         ;Santa Cruz De Tenerife
Playa De Las Américas. Arona             ;Santa Cruz De Tenerife
Puerto Colón                             ;Santa Cruz De Tenerife
Puerto De La Cruz                        ;Santa Cruz De Tenerife
Realejos (Los) (Diseminado)              ;Santa Cruz De Tenerife
San Cristobal De La Laguna               ;Santa Cruz De Tenerife
San Cristobal La De Laguna               ;Santa Cruz De Tenerife
San Isidro  Granadilla De Abon           ;Santa Cruz De Tenerife
San Isidro, Granadilla De Abona          ;Santa Cruz De Tenerife
San Miguel De Abona                      ;Santa Cruz De Tenerife
San Sebastian De La Gomera               ;Santa Cruz De Tenerife
Santa Cruz                               ;Santa Cruz De Tenerife
Santa Cruz De La Palma                   ;Santa Cruz De Tenerife
Santa Cruz De Tenerife                   ;Santa Cruz De Tenerife
Sta. Ursula                              ;Santa Cruz De Tenerife
Sta.Cruz De Tenerife                     ;Santa Cruz De Tenerife
Tacoronte                                ;Santa Cruz De Tenerife
Tejina  La Laguna                        ;Santa Cruz De Tenerife
Tenerife                                 ;Santa Cruz De Tenerife
Tenerife -  La Orotava                   ;Santa Cruz De Tenerife
Valle San Lorenzo (Arona)                ;Santa Cruz De Tenerife
Valverde (Isla El Hierro)                ;Santa Cruz De Tenerife
Victoria De Acentejo (La)                ;Santa Cruz De Tenerife
Cantalejo                                ;Segovia               
Cuellar                                  ;Segovia               
Segovia                                  ;Segovia               
Alcalá De Guadaira                       ;Sevilla               
Arahal                                   ;Sevilla               
Aznalfarache                             ;Sevilla               
Bollullos De La Mitacion                 ;Sevilla               
Bormujos                                 ;Sevilla               
Brenes                                   ;Sevilla               
Camas                                    ;Sevilla               
Cantillana                               ;Sevilla               
Carmona                                  ;Sevilla               
Castilleja De La Cuesta                  ;Sevilla               
Coria Del Río                            ;Sevilla               
Dos Hermanas                             ;Sevilla               
Ecija                                    ;Sevilla               
El Saucejo                               ;Sevilla               
El Viso Del Alcor                        ;Sevilla               
Estepa                                   ;Sevilla               
La Algaba                                ;Sevilla               
La Puebla Del Río                        ;Sevilla               
La Rinconada                             ;Sevilla               
Las Cabezas De San Juan                  ;Sevilla               
Lebrija                                  ;Sevilla               
Lora Del Río                             ;Sevilla               
Los Palacios                             ;Sevilla               
Mairena De Aljarafe                      ;Sevilla               
Mairena Del Alcor                        ;Sevilla               
Mairena Del Aljarafe                     ;Sevilla               
Marchena                                 ;Sevilla               
Morón De La Frontera                     ;Sevilla               
Osuna                                    ;Sevilla               
Pilas                                    ;Sevilla               
San José De La Rinconada                 ;Sevilla               
San Juan Aznalfarache                    ;Sevilla               
San Juan De Aznalfarache                 ;Sevilla               
San Pablo                                ;Sevilla               
Sanlucar La Mayor                        ;Sevilla               
Sevilla                                  ;Sevilla               
Sevilla (La Rinconada)                   ;Sevilla               
Tomares                                  ;Sevilla               
Utrera                                   ;Sevilla               
Almazan                                  ;Soria                 
Golmayo                                  ;Soria                 
Golmayo-Soria                            ;Soria                 
Olvega                                   ;Soria                 
Soria                                    ;Soria                 
Alcanar                                  ;Tarragona             
Altafulla                                ;Tarragona             
Amposta                                  ;Tarragona             
Banyeres Del Penedes                     ;Tarragona             
Calafell                                 ;Tarragona             
Cambrils                                 ;Tarragona             
Cambrils                                 ;Tarragona             
Castellbisbal                            ;Tarragona             
Cunit                                    ;Tarragona             
Deltebre                                 ;Tarragona             
El Vendrell                              ;Tarragona             
Flix                                     ;Tarragona             
La Granja (Tarragona)                    ;Tarragona             
La Pineda                                ;Tarragona             
L´Ampolla                                ;Tarragona             
Miami Platja                             ;Tarragona             
Montblanc                                ;Tarragona             
Mora D'Ebre                              ;Tarragona             
Mora La Nova                             ;Tarragona             
Reus                                     ;Tarragona             
Roda De Barà                             ;Tarragona             
Roquetes                                 ;Tarragona             
S.Pedro S.Pablo                          ;Tarragona             
Salou                                    ;Tarragona             
San Carles De La Rapita                  ;Tarragona             
Sant Carles De La Rápita                 ;Tarragona             
Tarragona                                ;Tarragona             
Torredembarra                            ;Tarragona             
Tortosa                                  ;Tarragona             
Valls                                    ;Tarragona             
Vendrell                                 ;Tarragona             
Vendrell (El)                            ;Tarragona             
Vendrell, El                             ;Tarragona             
Vila Seca                                ;Tarragona             
Vila-Seca                                ;Tarragona             
Vilaseca                                 ;Tarragona             
Vilaseca - Salou                         ;Tarragona             
Vilaseca- Salou                          ;Tarragona             
Vinyols I Els Arcs                       ;Tarragona             
Alcañiz                                  ;Teruel                
Andorra                                  ;Teruel                
Andorra De Teruel                        ;Teruel                
Teruel                                   ;Teruel                
Calera Y Chozas                          ;Toledo                
Cazalegas                                ;Toledo                
Illescas                                 ;Toledo                
Madridejos                               ;Toledo                
Mora                                     ;Toledo                
Ocaña                                    ;Toledo                
Olias Del Rey                            ;Toledo                
Polan                                    ;Toledo                
Puebla De Montalban (La)                 ;Toledo                
Quintanar De La Orden                    ;Toledo                
San Roman De Los Montes                  ;Toledo                
Talavera De La Reina                     ;Toledo                
Toledo                                   ;Toledo                
Torrijos                                 ;Toledo                
Valmojado                                ;Toledo                
Villacañas                               ;Toledo                
Alacuas                                  ;Valencia              
Alaquas                                  ;Valencia              
Albal                                    ;Valencia              
Alberic                                  ;Valencia              
Alboraya                                 ;Valencia              
Albuixech                                ;Valencia              
Alcira                                   ;Valencia              
Alcudia                                  ;Valencia              
Aldaia                                   ;Valencia              
Aldaia - Valencia                        ;Valencia              
Aldaya                                   ;Valencia              
Alfafar                                  ;Valencia              
Alfara Del Patriarca                     ;Valencia              
Algemesí                                 ;Valencia              
Alginet                                  ;Valencia              
Almusafes                                ;Valencia              
Alzira                                   ;Valencia              
Anna                                     ;Valencia              
Barrio De La Luz Xirivella               ;Valencia              
Benetusser                               ;Valencia              
Benifaio                                 ;Valencia              
Benifayó                                 ;Valencia              
Beniganin                                ;Valencia              
Benisano                                 ;Valencia              
Betera                                   ;Valencia              
Bonrepos (Valencia)                      ;Valencia              
Burjasot                                 ;Valencia              
Burjassot                                ;Valencia              
Campanar                                 ;Valencia              
Canals                                   ;Valencia              
Canet D En Berenguer                     ;Valencia              
Carcaixent                               ;Valencia              
Carlet                                   ;Valencia              
Castellón                                ;Valencia              
Catarroja                                ;Valencia              
Catarroja- Valencia                      ;Valencia              
Chirivella                               ;Valencia              
Chiva                                    ;Valencia              
Cullera                                  ;Valencia              
El Puig                                  ;Valencia              
El Saler                                 ;Valencia              
Gandía                                   ;Valencia              
Gandia (Valencia)                        ;Valencia              
Godella                                  ;Valencia              
Jativa                                   ;Valencia              
L Eliana                                 ;Valencia              
L'Eliana                                 ;Valencia              
La Eliana                                ;Valencia              
La Pobla De Vallbona                     ;Valencia              
Liria                                    ;Valencia              
Lliria                                   ;Valencia              
L´Eliana                                 ;Valencia              
Manises                                  ;Valencia              
Masamagrell                              ;Valencia              
Massalfasar                              ;Valencia              
Massalfassar                             ;Valencia              
Mislata                                  ;Valencia              
Mogente                                  ;Valencia              
Moncada                                  ;Valencia              
Montserrat- Valencia                     ;Valencia              
Museros                                  ;Valencia              
Oliva                                    ;Valencia              
Onteniente                               ;Valencia              
Ontinyent                                ;Valencia              
Paiporta                                 ;Valencia              
Palmera                                  ;Valencia              
Paterna                                  ;Valencia              
Paterna (Valencia)                       ;Valencia              
Picanya                                  ;Valencia              
Picassent                                ;Valencia              
Pto.De Sagunto                           ;Valencia              
Puçol                                    ;Valencia              
Puerto De Sagunto                        ;Valencia              
Puerto Sagunto                           ;Valencia              
Puzol                                    ;Valencia              
Quart                                    ;Valencia              
Quart De Poblet                          ;Valencia              
Quart De Poblet - Valencia               ;Valencia              
Real De Gandia                           ;Valencia              
Requena                                  ;Valencia              
Riba Roja                                ;Valencia              
Ribarroja                                ;Valencia              
Ribarroja De Turia                       ;Valencia              
Sagunto                                  ;Valencia              
Silla                                    ;Valencia              
Sueca                                    ;Valencia              
Tabernes De Valldigna                    ;Valencia              
Tavernes De Valdigna                     ;Valencia              
Tavernes De Valldigna                    ;Valencia              
Torrent                                  ;Valencia              
Torrente                                 ;Valencia              
Utiel                                    ;Valencia              
Valencia                                 ;Valencia              
Vara De Quart                            ;Valencia              
Villamarxant                             ;Valencia              
Xátiva                                   ;Valencia              
Xirivella                                ;Valencia              
Arroyo De La Encomienda                  ;Valladolid            
Arroyo La Encomienda                     ;Valladolid            
Ary.Encomienda                           ;Valladolid            
Cigales                                  ;Valladolid            
Iscar                                    ;Valladolid            
Laguna De Duero                          ;Valladolid            
Laguna Del Duero                         ;Valladolid            
Mayorga                                  ;Valladolid            
Medina                                   ;Valladolid            
Medina Del Campo                         ;Valladolid            
Tordesillas                              ;Valladolid            
Tudela De Duero                          ;Valladolid            
Valladolid                               ;Valladolid            
Valladolid / Zaratan                     ;Valladolid            
Villa Del Prado                          ;Valladolid            
Zaratán                                  ;Valladolid            
Abadiño                                  ;Vizcaya               
Algorta                                  ;Vizcaya               
Amorebieta                               ;Vizcaya               
Asua - Erandio                           ;Vizcaya               
Baracaldo                                ;Vizcaya               
Barakaldo                                ;Vizcaya               
Barakaldo-Vizcaya                        ;Vizcaya               
Basauri                                  ;Vizcaya               
Bermeo                                   ;Vizcaya               
Bilbao                                   ;Vizcaya               
Bilbao - Vizcaya                         ;Vizcaya               
Bilbao / Erandio                         ;Vizcaya               
Deusto                                   ;Vizcaya               
Durango                                  ;Vizcaya               
Erandio                                  ;Vizcaya               
Erandio (Astrabudua)                     ;Vizcaya               
Ermua                                    ;Vizcaya               
Galdacano                                ;Vizcaya               
Galdakano                                ;Vizcaya               
Galdakao                                 ;Vizcaya               
